qseqid; sseqid; pident; length; mismatch; gapopen; qstart; qend; sstart; send; evalue; bitscore;
BT_3124;NC_009615.1 Parabacteroides distasonis ATCC 8503, complete genome;40.517;464;259;10;20;477;58665;57307;1.17E-103;345;
BT_3124;NC_009615.1 Parabacteroides distasonis ATCC 8503, complete genome;29.253;482;299;12;22;475;3530017;3531420;7.32E-60;218;
BT_3124;NZ_GG703863.1 Prevotella copri DSM 18205 Scfld11, whole genome shotgun sequence;40.795;478;256;8;18;479;25172;26572;3.84E-102;340;
BT_3124;NZ_ATFI01000013.1 Bacteroides cellulosilyticus WH2 BWH2c14, whole genome shotgun sequence;39.076;476;260;12;16;479;166257;164884;1.52E-96;324;
BT_3124;NZ_EQ973490.1 Bacteroides cellulosilyticus DSM 14838 Scfld4, whole genome shotgun sequence;39.286;476;259;12;16;479;50726;49353;3.45E-96;323;
BT_3124;NZ_EQ973490.1 Bacteroides cellulosilyticus DSM 14838 Scfld4, whole genome shotgun sequence;42.915;247;132;6;238;479;1964751;1965479;7.25E-49;186;
BT_3124;NZ_EQ973490.1 Bacteroides cellulosilyticus DSM 14838 Scfld4, whole genome shotgun sequence;38.333;240;136;5;20;254;811729;811031;8.09E-44;171;
BT_3124;NZ_EQ973490.1 Bacteroides cellulosilyticus DSM 14838 Scfld4, whole genome shotgun sequence;38.528;231;133;4;248;477;445831;445163;3.28E-38;154;
BT_3124;NZ_EQ973490.1 Bacteroides cellulosilyticus DSM 14838 Scfld4, whole genome shotgun sequence;40.782;179;100;5;246;421;810544;810017;6.66E-29;126;
BT_3124;NZ_EQ973490.1 Bacteroides cellulosilyticus DSM 14838 Scfld4, whole genome shotgun sequence;36.585;205;113;6;20;222;1963632;1964201;1.31E-27;122;
BT_3124;NZ_EQ973490.1 Bacteroides cellulosilyticus DSM 14838 Scfld4, whole genome shotgun sequence;37.374;198;107;6;27;222;446980;446432;1.29E-23;110;
BT_3124;NZ_DS499669.1 Bacteroides stercoris ATCC 43183 Scfld_02_8, whole genome shotgun sequence;39.066;471;259;13;20;479;56028;54667;5.87E-96;322;
BT_3124;NZ_DS264584.1 Bacteroides ovatus ATCC 8483 Scfld0231, whole genome shotgun sequence;38.608;474;255;13;19;477;458625;459983;1.29E-92;313;
BT_3124;NZ_GG688320.1 Bacteroides finegoldii DSM 17565 Scfld3, whole genome shotgun sequence;38.608;474;255;13;19;477;174406;173048;8.35E-92;310;
BT_3124;JGCP01000476.1 Bacteroides fragilis str. 3397 T10 gbf3397T10.contig.485, whole genome shotgun sequence;41.711;374;206;5;109;479;1146;52;1.05E-86;275;
BT_3124;JGCP01000263.1 Bacteroides fragilis str. 3397 T10 gbf3397T10.contig.269, whole genome shotgun sequence;45.993;287;143;4;16;301;828;1;8.20E-84;269;
BT_3124;NZ_DS995511.1 Bacteroides eggerthii DSM 20697 Scfld3, whole genome shotgun sequence;36.659;461;273;9;22;478;320527;319190;1.81E-82;283;
BT_3124;NZ_DS995511.1 Bacteroides eggerthii DSM 20697 Scfld3, whole genome shotgun sequence;32.869;502;275;10;21;479;378660;377212;7.17E-72;253;
BT_3124;NZ_DS995511.1 Bacteroides eggerthii DSM 20697 Scfld3, whole genome shotgun sequence;32.016;506;273;16;21;479;445669;444224;2.12E-62;225;
BT_3124;NZ_EQ973495.1 Bacteroides cellulosilyticus DSM 14838 Scfld9, whole genome shotgun sequence;33.402;482;281;11;16;479;70783;72162;4.60E-80;276;
BT_3124;JGCP01001396.1 Bacteroides fragilis str. 3397 T10 gbf3397T10.contig.1426, whole genome shotgun sequence;33.129;489;281;9;22;477;664;2091;1.32E-75;261;
BT_3124;NZ_CVOY01000094.1 Bacteroides thetaiotaomicron isolate 3731, whole genome shotgun sequence;45.583;283;153;1;193;475;1;846;5.50E-74;259;
BT_3124;NZ_AAVM02000001.1 Bacteroides caccae ATCC 43185 B_caccae-MSIQ_Cont1321, whole genome shotgun sequence;33.197;488;274;10;22;477;1239561;1238158;7.01E-74;259;
BT_3124;NZ_PUEQ01000003.1 Bacteroides caccae strain ATCC 43185 Bacteroides_caccae.1cell.HGAP3_contig3, whole genome shotgun sequence;33.197;488;274;10;22;477;1528370;1526967;7.01E-74;259;
BT_3124;QEKH01000018.1 Victivallis vadensis strain DSM 14823 Ga0215691_118, whole genome shotgun sequence;32.749;513;282;10;16;478;24528;23029;1.75E-72;254;
BT_3124;NZ_JGDE01000072.1 Bacteroides fragilis str. DS-208 gbfDS208.contig.71, whole genome shotgun sequence;33.058;484;280;10;22;477;10558;11961;5.06E-72;253;
BT_3124;NZ_UFTH01000001.1 Bacteroides fragilis strain NCTC9343, whole genome shotgun sequence;33.058;484;280;10;22;477;4051853;4053256;5.09E-72;253;
BT_3124;NZ_UFTH01000001.1 Bacteroides fragilis strain NCTC9343, whole genome shotgun sequence;44.118;204;107;3;20;223;634929;635519;1.67E-46;179;
BT_3124;NZ_UFTH01000001.1 Bacteroides fragilis strain NCTC9343, whole genome shotgun sequence;42.437;238;128;7;246;479;636114;636812;3.44E-44;172;
BT_3124;JGCP01002441.1 Bacteroides fragilis str. 3397 T10 gbf3397T10.contig.2487, whole genome shotgun sequence;32.645;484;282;10;22;477;11079;12482;2.20E-70;248;
BT_3124;JGCP01001863.1 Bacteroides fragilis str. 3397 T10 gbf3397T10.contig.1901, whole genome shotgun sequence;32.099;486;279;10;22;475;2422;1022;1.10E-69;244;
BT_3124;NZ_DS499673.1 Bacteroides stercoris ATCC 43183 Scfld_02_12, whole genome shotgun sequence;30.864;486;286;10;21;475;494276;495676;8.12E-67;238;
BT_3124;NZ_EQ973645.1 Bacteroides coprophilus DSM 18228 = JCM 13818 strain DSM 18228 Scfld17, whole genome shotgun sequence;31.07;486;287;11;22;477;64693;66096;5.37E-65;233;
BT_3124;NZ_DS996444.1 Parabacteroides johnsonii DSM 18315 Scfld4, whole genome shotgun sequence;31.967;488;282;14;22;477;535363;536772;1.34E-64;232;
BT_3124;NZ_DS996444.1 Parabacteroides johnsonii DSM 18315 Scfld4, whole genome shotgun sequence;30.332;211;132;6;20;225;269736;269134;5.50E-23;108;
BT_3124;NZ_DS996444.1 Parabacteroides johnsonii DSM 18315 Scfld4, whole genome shotgun sequence;35.762;151;89;4;227;375;268632;268198;1.09E-18;95.1;
BT_3124;NZ_DS264461.1 Parabacteroides merdae ATCC 43184 Scfld021, whole genome shotgun sequence;31.828;487;284;13;22;477;326679;328088;1.48E-63;229;
BT_3124;NZ_ABJL02000007.1 Bacteroides intestinalis DSM 17393 B_intestinalis-2.0.1_Cont606, whole genome shotgun sequence;31.953;507;278;14;18;479;719924;721378;2.07E-63;228;
BT_3124;NZ_ABJL02000007.1 Bacteroides intestinalis DSM 17393 B_intestinalis-2.0.1_Cont606, whole genome shotgun sequence;42.029;207;107;4;20;223;507938;508528;4.69E-44;171;
BT_3124;NZ_ABJL02000007.1 Bacteroides intestinalis DSM 17393 B_intestinalis-2.0.1_Cont606, whole genome shotgun sequence;41.393;244;132;8;240;479;509108;509818;7.64E-44;171;
BT_3124;QEKH01000033.1 Victivallis vadensis strain DSM 14823 Ga0215691_133, whole genome shotgun sequence;31.013;474;297;9;16;476;47019;45649;7.83E-63;226;
BT_3124;NZ_CVOY01000041.1 Bacteroides thetaiotaomicron isolate 3731, whole genome shotgun sequence;31.092;476;283;11;30;477;66500;65124;1.01E-59;218;
BT_3124;QEKH01000011.1 Victivallis vadensis strain DSM 14823 Ga0215691_111, whole genome shotgun sequence;28.656;506;284;11;22;475;39979;38537;1.19E-56;208;
BT_3124;NZ_ABJL02000002.1 Bacteroides intestinalis DSM 17393 B_intestinalis-2.0.1_Cont554, whole genome shotgun sequence;30.928;485;281;16;16;474;240119;238749;5.14E-52;195;
BT_3124;NZ_ATFI01000001.1 Bacteroides cellulosilyticus WH2 BWH2c1, whole genome shotgun sequence;42.915;247;132;6;238;479;1754879;1755607;7.11E-49;186;
BT_3124;NZ_ATFI01000001.1 Bacteroides cellulosilyticus WH2 BWH2c1, whole genome shotgun sequence;41.772;237;130;6;246;479;716683;715988;2.65E-44;172;
BT_3124;NZ_ATFI01000001.1 Bacteroides cellulosilyticus WH2 BWH2c1, whole genome shotgun sequence;38.333;240;136;5;20;254;717868;717170;2.94E-44;172;
BT_3124;NZ_ATFI01000001.1 Bacteroides cellulosilyticus WH2 BWH2c1, whole genome shotgun sequence;38.528;231;133;4;248;477;340148;339480;3.47E-38;154;
BT_3124;NZ_ATFI01000001.1 Bacteroides cellulosilyticus WH2 BWH2c1, whole genome shotgun sequence;36.585;205;113;6;20;222;1753760;1754329;1.30E-27;122;
BT_3124;NZ_ATFI01000001.1 Bacteroides cellulosilyticus WH2 BWH2c1, whole genome shotgun sequence;37.374;198;107;6;27;222;341297;340749;1.05E-23;110;
BT_3124;QEKH01000003.1 Victivallis vadensis strain DSM 14823 Ga0215691_103, whole genome shotgun sequence;28.481;474;308;9;18;478;120748;122115;1.04E-48;185;
BT_3124;NZ_JGDE01000126.1 Bacteroides fragilis str. DS-208 gbfDS208.contig.126, whole genome shotgun sequence;44.608;204;106;3;20;223;27194;27784;3.67E-47;181;
BT_3124;NZ_JGDE01000126.1 Bacteroides fragilis str. DS-208 gbfDS208.contig.126, whole genome shotgun sequence;42.437;238;128;7;246;479;28379;29077;1.70E-44;172;
BT_3124;NZ_CVOY01000120.1 Bacteroides thetaiotaomicron isolate 3731, whole genome shotgun sequence;50.82;183;82;2;16;197;2031;2558;3.73E-47;179;
BT_3124;NC_010655.1 Akkermansia muciniphila ATCC BAA-835, complete genome;28.889;495;292;12;27;477;541896;543332;5.62E-47;180;
BT_3124;JGCP01002533.1 Bacteroides fragilis str. 3397 T10 gbf3397T10.contig.2579, whole genome shotgun sequence;44.118;204;107;3;20;223;3492;4082;1.79E-46;179;
BT_3124;JGCP01002533.1 Bacteroides fragilis str. 3397 T10 gbf3397T10.contig.2579, whole genome shotgun sequence;42.437;238;128;7;246;479;4677;5375;1.12E-44;173;
BT_3124;NZ_DS995538.1 Bacteroides dorei DSM 17855 Scfld10, whole genome shotgun sequence;39.749;239;137;5;243;479;45726;45025;7.57E-45;174;
BT_3124;NZ_DS995538.1 Bacteroides dorei DSM 17855 Scfld10, whole genome shotgun sequence;41.706;211;110;4;16;223;46932;46330;2.35E-41;163;
BT_3124;CVOZ01000033.1 Bacteroides thetaiotaomicron genome assembly 7330, contig 7330contig1.8, whole genome shotgun sequence;42.562;242;130;7;241;479;69509;68802;1.28E-44;173;
BT_3124;CVOZ01000033.1 Bacteroides thetaiotaomicron genome assembly 7330, contig 7330contig1.8, whole genome shotgun sequence;39.151;212;117;3;20;228;70706;70098;6.87E-39;156;
BT_3124;NZ_CVOY01000004.1 Bacteroides thetaiotaomicron isolate 3731, whole genome shotgun sequence;42.562;242;130;7;241;479;2896;3603;1.39E-44;173;
BT_3124;NZ_CVOY01000004.1 Bacteroides thetaiotaomicron isolate 3731, whole genome shotgun sequence;39.623;212;116;3;20;228;1699;2307;1.08E-39;159;
BT_3124;CVOZ01000021.1 Bacteroides thetaiotaomicron genome assembly 7330, contig 7330contig0.21, whole genome shotgun sequence;39.13;253;131;7;246;479;107438;108184;1.20E-41;164;
BT_3124;CVOZ01000021.1 Bacteroides thetaiotaomicron genome assembly 7330, contig 7330contig0.21, whole genome shotgun sequence;30.769;234;110;9;17;223;106535;107161;1.40E-17;91.7;
BT_3124;NZ_DS995533.1 Bacteroides dorei DSM 17855 Scfld5, whole genome shotgun sequence;40.084;237;133;6;246;479;1775;1083;1.63E-41;164;
BT_3124;NZ_DS995533.1 Bacteroides dorei DSM 17855 Scfld5, whole genome shotgun sequence;36.19;210;114;3;18;227;2948;2379;4.45E-34;142;
BT_3124;NZ_CVOY01000089.1 Bacteroides thetaiotaomicron isolate 3731, whole genome shotgun sequence;39.13;253;131;7;246;479;11279;12025;3.61E-41;163;
BT_3124;NZ_CVOY01000089.1 Bacteroides thetaiotaomicron isolate 3731, whole genome shotgun sequence;30.901;233;111;10;17;223;10376;11002;1.94E-17;91.3;
BT_3124;QEKH01000001.1 Victivallis vadensis strain DSM 14823 Ga0215691_101, whole genome shotgun sequence;39.033;269;139;7;223;476;296578;297354;4.09E-41;163;
BT_3124;QEKH01000001.1 Victivallis vadensis strain DSM 14823 Ga0215691_101, whole genome shotgun sequence;41.35;237;128;6;247;478;259902;259210;5.51E-39;156;
BT_3124;QEKH01000001.1 Victivallis vadensis strain DSM 14823 Ga0215691_101, whole genome shotgun sequence;33.023;215;127;7;17;223;295345;295962;4.42E-21;102;
BT_3124;QEKH01000001.1 Victivallis vadensis strain DSM 14823 Ga0215691_101, whole genome shotgun sequence;31.863;204;123;5;22;222;261147;260575;1.89E-20;100;
BT_3124;NC_008618.1 Bifidobacterium adolescentis ATCC 15703 DNA, complete genome;26.334;581;289;17;22;477;113104;114804;1.85E-40;161;
BT_3124;NC_008618.1 Bifidobacterium adolescentis ATCC 15703 DNA, complete genome;24.953;537;288;19;18;476;1901066;1902565;3.56E-25;115;
BT_3124;NC_008618.1 Bifidobacterium adolescentis ATCC 15703 DNA, complete genome;30.332;211;133;4;17;225;539816;540412;2.05E-21;103;
BT_3124;NC_008618.1 Bifidobacterium adolescentis ATCC 15703 DNA, complete genome;31.373;153;102;2;246;397;541031;541483;1.06E-14;82.8;
BT_3124;NZ_JH724298.1 Bacteroides xylanisolvens CL03T12C04 supercont1.5, whole genome shotgun sequence;37.143;245;128;8;19;252;184281;184970;1.53E-31;134;
BT_3124;NZ_JH724298.1 Bacteroides xylanisolvens CL03T12C04 supercont1.5, whole genome shotgun sequence;39.37;127;75;2;246;370;185469;185849;1.20E-18;95.1;
BT_3124;NZ_ATFI01000009.1 Bacteroides cellulosilyticus WH2 BWH2c9, whole genome shotgun sequence;33.191;235;151;4;246;477;344620;343925;3.28E-31;133;
BT_3124;NZ_ATFI01000009.1 Bacteroides cellulosilyticus WH2 BWH2c9, whole genome shotgun sequence;37.559;213;108;7;18;225;345787;345209;2.17E-30;130;
BT_3124;NZ_ATFI01000009.1 Bacteroides cellulosilyticus WH2 BWH2c9, whole genome shotgun sequence;35.27;241;127;8;20;245;291205;291885;8.38E-28;123;
BT_3124;NZ_ATFI01000009.1 Bacteroides cellulosilyticus WH2 BWH2c9, whole genome shotgun sequence;42.4;125;70;2;246;368;292408;292782;1.19E-19;98.2;
BT_3124;NZ_DS264583.1 Bacteroides ovatus ATCC 8483 Scfld0230, whole genome shotgun sequence;39.13;207;110;7;20;225;293997;293422;1.92E-30;131;
BT_3124;NZ_DS264583.1 Bacteroides ovatus ATCC 8483 Scfld0230, whole genome shotgun sequence;38.017;121;73;1;246;364;292812;292450;1.97E-18;94.4;
BT_3124;NZ_DS499654.1 Erysipelatoclostridium ramosum DSM 1402 Scfld_02_5, whole genome shotgun sequence;24.138;522;298;19;18;475;458831;460294;9.42E-30;129;
BT_3124;QEKH01000042.1 Victivallis vadensis strain DSM 14823 Ga0215691_142, whole genome shotgun sequence;34.538;249;142;6;246;477;3416;4150;5.42E-29;126;
BT_3124;QEKH01000042.1 Victivallis vadensis strain DSM 14823 Ga0215691_142, whole genome shotgun sequence;34.45;209;127;5;16;220;2183;2791;1.43E-24;113;
BT_3124;NZ_GG667711.1 Hungatella hathewayi DSM 13479 Scfld104, whole genome shotgun sequence;34.583;240;143;6;246;475;24610;23903;1.89E-27;122;
BT_3124;NZ_GG667711.1 Hungatella hathewayi DSM 13479 Scfld104, whole genome shotgun sequence;31.193;218;128;8;16;225;25807;25196;1.01E-19;98.6;
BT_3124;NZ_DS264581.1 Bacteroides ovatus ATCC 8483 Scfld0228, whole genome shotgun sequence;32.075;212;120;4;19;226;193952;193377;2.28E-26;119;
BT_3124;NZ_DS264581.1 Bacteroides ovatus ATCC 8483 Scfld0228, whole genome shotgun sequence;30.213;235;156;5;246;475;192791;192096;2.86E-25;115;
BT_3124;JGCP01001637.1 Bacteroides fragilis str. 3397 T10 gbf3397T10.contig.1671, whole genome shotgun sequence;34.591;159;100;3;242;398;489;19;1.15E-24;104;
BT_3124;NZ_ACCL02000028.1 Marvinbryantia formatexigens DSM 14469 B_formatexigens-1.0.1_Cont27.1, whole genome shotgun sequence;27.407;270;149;8;245;474;17836;18624;1.26E-16;89;
BT_3124;NZ_ABJL02000006.1 Bacteroides intestinalis DSM 17393 B_intestinalis-2.0.1_Cont604, whole genome shotgun sequence;49.254;67;34;0;16;82;172382;172182;3.93E-11;71.6;
BT_3124;NZ_GG688332.1 Bacteroides finegoldii DSM 17565 Scfld15, whole genome shotgun sequence;33;100;66;1;319;417;82694;82395;4.30E-07;58.5;
BT_3124;JGCP01001016.1 Bacteroides fragilis str. 3397 T10 gbf3397T10.contig.1037, whole genome shotgun sequence;37.037;54;34;0;169;222;5;166;7.89E-07;52.4;
BT_4091;CVOZ01000033.1 Bacteroides thetaiotaomicron genome assembly 7330, contig 7330contig1.8, whole genome shotgun sequence;100;662;0;0;1;662;70763;68778;0;1368;
BT_4091;NZ_PUEO01000014.1 Bacteroides thetaiotaomicron strain VPI-5482 Bacteroides_thetaiotaomicron.1cell.HGAP3_contig14, whole genome shotgun sequence;100;662;0;0;1;662;867744;869729;0;1368;
BT_4091;NZ_PUEO01000014.1 Bacteroides thetaiotaomicron strain VPI-5482 Bacteroides_thetaiotaomicron.1cell.HGAP3_contig14, whole genome shotgun sequence;52.174;253;100;6;421;654;4023290;4022538;3.44E-66;242;
BT_4091;NZ_PUEO01000014.1 Bacteroides thetaiotaomicron strain VPI-5482 Bacteroides_thetaiotaomicron.1cell.HGAP3_contig14, whole genome shotgun sequence;42.273;220;121;3;6;223;3014618;3013971;2.34E-47;186;
BT_4091;NZ_PUEO01000014.1 Bacteroides thetaiotaomicron strain VPI-5482 Bacteroides_thetaiotaomicron.1cell.HGAP3_contig14, whole genome shotgun sequence;41.129;248;135;6;415;654;3013952;3013218;1.38E-41;168;
BT_4091;NZ_PUEO01000014.1 Bacteroides thetaiotaomicron strain VPI-5482 Bacteroides_thetaiotaomicron.1cell.HGAP3_contig14, whole genome shotgun sequence;41.494;241;120;6;5;233;2339658;2340353;1.56E-41;168;
BT_4091;NZ_PUEO01000014.1 Bacteroides thetaiotaomicron strain VPI-5482 Bacteroides_thetaiotaomicron.1cell.HGAP3_contig14, whole genome shotgun sequence;40.833;240;134;7;416;650;2340330;2341040;2.31E-39;162;
BT_4091;NZ_PUEO01000014.1 Bacteroides thetaiotaomicron strain VPI-5482 Bacteroides_thetaiotaomicron.1cell.HGAP3_contig14, whole genome shotgun sequence;36.818;220;132;4;3;218;184582;183932;1.28E-36;153;
BT_4091;NZ_PUEO01000014.1 Bacteroides thetaiotaomicron strain VPI-5482 Bacteroides_thetaiotaomicron.1cell.HGAP3_contig14, whole genome shotgun sequence;35.593;236;142;4;419;652;2364708;2365391;5.88E-36;151;
BT_4091;NZ_PUEO01000014.1 Bacteroides thetaiotaomicron strain VPI-5482 Bacteroides_thetaiotaomicron.1cell.HGAP3_contig14, whole genome shotgun sequence;39.583;240;130;8;425;654;183868;183164;1.74E-35;150;
BT_4091;NZ_PUEO01000014.1 Bacteroides thetaiotaomicron strain VPI-5482 Bacteroides_thetaiotaomicron.1cell.HGAP3_contig14, whole genome shotgun sequence;30.97;268;152;8;13;256;4024199;4023423;2.90E-24;114;
BT_4091;NZ_PUEO01000014.1 Bacteroides thetaiotaomicron strain VPI-5482 Bacteroides_thetaiotaomicron.1cell.HGAP3_contig14, whole genome shotgun sequence;26.429;280;182;8;22;280;2363991;2364821;3.12E-20;102;
BT_4091;NZ_CVOY01000004.1 Bacteroides thetaiotaomicron isolate 3731, whole genome shotgun sequence;99.849;662;1;0;1;662;1642;3627;0;1366;
BT_4091;NZ_JH724294.1 Bacteroides xylanisolvens CL03T12C04 supercont1.1, whole genome shotgun sequence;78.248;662;144;0;1;662;360479;362464;0;1116;
BT_4091;NZ_JH724294.1 Bacteroides xylanisolvens CL03T12C04 supercont1.1, whole genome shotgun sequence;42.727;220;120;3;6;223;1911454;1912101;3.11E-47;186;
BT_4091;NZ_JH724294.1 Bacteroides xylanisolvens CL03T12C04 supercont1.1, whole genome shotgun sequence;43.182;220;118;3;5;222;1590663;1590019;4.22E-42;170;
BT_4091;NZ_JH724294.1 Bacteroides xylanisolvens CL03T12C04 supercont1.1, whole genome shotgun sequence;40.726;248;136;6;415;654;1912120;1912854;4.99E-41;167;
BT_4091;NZ_JH724294.1 Bacteroides xylanisolvens CL03T12C04 supercont1.1, whole genome shotgun sequence;39.419;241;138;7;415;650;1589994;1589281;7.32E-38;157;
BT_4091;NZ_ABJL02000007.1 Bacteroides intestinalis DSM 17393 B_intestinalis-2.0.1_Cont606, whole genome shotgun sequence;55.471;658;285;4;1;658;507881;509830;0;773;
BT_4091;NZ_ABJL02000007.1 Bacteroides intestinalis DSM 17393 B_intestinalis-2.0.1_Cont606, whole genome shotgun sequence;44.444;243;125;6;418;655;720668;721381;3.56E-45;179;
BT_4091;NZ_ABJL02000007.1 Bacteroides intestinalis DSM 17393 B_intestinalis-2.0.1_Cont606, whole genome shotgun sequence;35.023;217;127;6;3;216;719873;720490;3.51E-30;133;
BT_4091;NZ_ATFI01000001.1 Bacteroides cellulosilyticus WH2 BWH2c1, whole genome shotgun sequence;55.251;657;285;5;2;658;717919;715976;0;766;
BT_4091;NZ_ATFI01000001.1 Bacteroides cellulosilyticus WH2 BWH2c1, whole genome shotgun sequence;44.158;659;337;15;3;655;1753709;1755610;5.27E-159;512;
BT_4091;NZ_ATFI01000001.1 Bacteroides cellulosilyticus WH2 BWH2c1, whole genome shotgun sequence;40.219;639;352;15;19;652;341321;339480;1.07E-131;433;
BT_4091;NZ_ATFI01000001.1 Bacteroides cellulosilyticus WH2 BWH2c1, whole genome shotgun sequence;32.8;125;69;5;268;379;176816;176448;4.99E-08;62.4;
BT_4091;JGCP01002533.1 Bacteroides fragilis str. 3397 T10 gbf3397T10.contig.2579, whole genome shotgun sequence;55.387;659;285;5;1;658;3435;5387;0;756;
BT_4091;NZ_UFTH01000001.1 Bacteroides fragilis strain NCTC9343, whole genome shotgun sequence;55.387;659;285;5;1;658;634872;636824;0;754;
BT_4091;NZ_UFTH01000001.1 Bacteroides fragilis strain NCTC9343, whole genome shotgun sequence;38.819;237;134;5;419;652;4052570;4053256;1.56E-40;165;
BT_4091;NZ_UFTH01000001.1 Bacteroides fragilis strain NCTC9343, whole genome shotgun sequence;33.816;207;119;6;22;216;4051853;4052455;1.23E-22;109;
BT_4091;NZ_JGDE01000126.1 Bacteroides fragilis str. DS-208 gbfDS208.contig.126, whole genome shotgun sequence;55.235;659;286;5;1;658;27137;29089;0;754;
BT_4091;NZ_EQ973490.1 Bacteroides cellulosilyticus DSM 14838 Scfld4, whole genome shotgun sequence;53.177;598;271;5;2;599;811780;810014;0;669;
BT_4091;NZ_EQ973490.1 Bacteroides cellulosilyticus DSM 14838 Scfld4, whole genome shotgun sequence;44.158;659;337;15;3;655;1963581;1965482;6.63E-159;512;
BT_4091;NZ_EQ973490.1 Bacteroides cellulosilyticus DSM 14838 Scfld4, whole genome shotgun sequence;40.376;639;351;15;19;652;447004;445163;6.88E-132;434;
BT_4091;NZ_EQ973490.1 Bacteroides cellulosilyticus DSM 14838 Scfld4, whole genome shotgun sequence;45.833;240;119;3;423;659;50033;49338;1.14E-55;211;
BT_4091;NZ_EQ973490.1 Bacteroides cellulosilyticus DSM 14838 Scfld4, whole genome shotgun sequence;41.176;221;121;3;6;220;50756;50103;8.89E-42;169;
BT_4091;NZ_EQ973490.1 Bacteroides cellulosilyticus DSM 14838 Scfld4, whole genome shotgun sequence;71.186;59;17;0;600;658;791221;791045;5.35E-19;97.8;
BT_4091;NZ_EQ973490.1 Bacteroides cellulosilyticus DSM 14838 Scfld4, whole genome shotgun sequence;32.8;125;69;5;268;379;276595;276227;4.99E-08;62.4;
BT_4091;NC_009614.1 Bacteroides vulgatus ATCC 8482, complete genome;48.012;654;337;3;1;654;1019192;1017240;0;639;
BT_4091;NC_009614.1 Bacteroides vulgatus ATCC 8482, complete genome;38.931;655;383;3;1;654;4736413;4738329;1.19E-153;497;
BT_4091;NC_009614.1 Bacteroides vulgatus ATCC 8482, complete genome;34.621;647;389;19;15;650;36139;34268;3.66E-110;371;
BT_4091;NC_009614.1 Bacteroides vulgatus ATCC 8482, complete genome;40.444;225;127;4;2;223;3437145;3437807;5.94E-45;179;
BT_4091;NC_009614.1 Bacteroides vulgatus ATCC 8482, complete genome;40.756;238;128;6;419;652;5098297;5097611;2.13E-41;168;
BT_4091;NC_009614.1 Bacteroides vulgatus ATCC 8482, complete genome;37.398;246;147;6;415;654;3437826;3438560;5.28E-36;151;
BT_4091;NC_009614.1 Bacteroides vulgatus ATCC 8482, complete genome;35.749;207;115;7;22;216;5099014;5098412;5.72E-24;114;
BT_4091;NZ_DS995538.1 Bacteroides dorei DSM 17855 Scfld10, whole genome shotgun sequence;46.789;654;345;3;1;654;46977;45025;0;616;
BT_4091;NZ_PUEO01000004.1 Bacteroides thetaiotaomicron strain VPI-5482 Bacteroides_thetaiotaomicron.1cell.HGAP3_contig4, whole genome shotgun sequence;45.122;656;346;8;3;653;964302;962362;1.22E-180;575;
BT_4091;NZ_PUEO01000004.1 Bacteroides thetaiotaomicron strain VPI-5482 Bacteroides_thetaiotaomicron.1cell.HGAP3_contig4, whole genome shotgun sequence;42.562;242;130;7;419;654;950387;949671;3.86E-43;173;
BT_4091;NZ_PUEO01000004.1 Bacteroides thetaiotaomicron strain VPI-5482 Bacteroides_thetaiotaomicron.1cell.HGAP3_contig4, whole genome shotgun sequence;41.704;223;123;6;1;219;1015423;1014764;4.22E-40;164;
BT_4091;NZ_PUEO01000004.1 Bacteroides thetaiotaomicron strain VPI-5482 Bacteroides_thetaiotaomicron.1cell.HGAP3_contig4, whole genome shotgun sequence;37.991;229;128;5;5;222;951101;950424;7.08E-39;160;
BT_4091;NZ_PUEO01000004.1 Bacteroides thetaiotaomicron strain VPI-5482 Bacteroides_thetaiotaomicron.1cell.HGAP3_contig4, whole genome shotgun sequence;41.597;238;130;7;426;657;1014700;1013996;9.50E-37;154;
BT_4091;NZ_CVOY01000050.1 Bacteroides thetaiotaomicron isolate 3731, whole genome shotgun sequence;44.817;656;348;8;3;653;6722;8662;1.52E-180;574;
BT_4091;NZ_CVOY01000050.1 Bacteroides thetaiotaomicron isolate 3731, whole genome shotgun sequence;42.562;242;130;7;419;654;20636;21352;3.78E-43;173;
BT_4091;NZ_CVOY01000050.1 Bacteroides thetaiotaomicron isolate 3731, whole genome shotgun sequence;37.991;229;128;5;5;222;19922;20599;6.93E-39;160;
BT_4091;CVOZ01000043.1 Bacteroides thetaiotaomicron genome assembly 7330, contig 7330contig1.18, whole genome shotgun sequence;45.557;619;323;8;40;653;101498;103327;1.29E-171;548;
BT_4091;CVOZ01000043.1 Bacteroides thetaiotaomicron genome assembly 7330, contig 7330contig1.18, whole genome shotgun sequence;43.388;242;128;7;419;654;115294;116010;2.26E-44;177;
BT_4091;CVOZ01000043.1 Bacteroides thetaiotaomicron genome assembly 7330, contig 7330contig1.18, whole genome shotgun sequence;42.152;223;122;6;1;219;64239;64898;7.01E-41;166;
BT_4091;CVOZ01000043.1 Bacteroides thetaiotaomicron genome assembly 7330, contig 7330contig1.18, whole genome shotgun sequence;37.118;229;130;5;5;222;114580;115257;8.97E-38;157;
BT_4091;CVOZ01000043.1 Bacteroides thetaiotaomicron genome assembly 7330, contig 7330contig1.18, whole genome shotgun sequence;41.176;238;131;7;426;657;64962;65666;3.30E-36;152;
BT_4091;NZ_DS995533.1 Bacteroides dorei DSM 17855 Scfld5, whole genome shotgun sequence;38.626;655;385;3;1;654;2999;1083;2.41E-152;493;
